000001.000001|0.7950
000001.000002|1.5883
000001.000003|1.6257
000002.000004|2.2692
000002.000006|2.2692
000002.000007|2.2692
000002.000008|2.2692
000002.000009|2.2692
000002.000010|2.2692
000002.000011|2.2692
000002.000012|1.8431
000002.000013|2.2692
000002.000014|1.3683
000002.000015|2.2692
000002.000016|0.6853
000002.000017|2.2692
000003.000018|2.4412
000003.000019|1.3157
000003.000021|1.3157
000003.000022|2.4412
000003.000023|2.6907
000003.000024|-2.4412
000003.000025|2.6907
000004.000026|2.6907
000004.000027|2.6907
000004.000028|2.6907
000004.000029|2.6907
000004.000031|2.6907
000004.000032|2.6907
000004.000033|2.4412
000004.000034|2.4412
000004.000035|2.4412
000004.000036|2.4412
000004.000037|2.6906
000004.000038|2.6906
000004.000039|2.6906
